RK,NAME
1,Scottie Scheffler
2,Jon Rahm
3,Rory McIlroy
4,Patrick Cantlay
5,Cameron Smith
6,Max Homa
7,Xander Schauffele
8,Will Zalatoris
9,Viktor Hovland
10,Justin Thomas
11,Collin Morikawa
12,Tony Finau
13,Matt Fitzpatrick
14,Jordan Spieth
15,Sam Burns
16,Tyrrell Hatton
17,Cameron Young
18,Sungjae Im
19,Tom Kim
20,Hideki Matsuyama
21,Kurt Kitayama
22,Keegan Bradley
23,Shane Lowry
24,Billy Horschel
25,Tom Hoge
26,Tommy Fleetwood
27,Joaquin Niemann
28,Brian Harman
29,Sahith Theegala
30,Abraham Ancer
31,Justin Rose
32,Sepp Straka
33,Chris Kirk
34,Ryan Fox
35,Seamus Power
36,Russell Henley
37,Jason Day
38,Adam Scott
39,Si Woo Kim
40,K.H. Lee
41,Corey Conners
42,Thomas Pieters
43,Harris English
44,Alex Noren
45,Keith Mitchell
46,Aaron Wise
47,Min Woo Lee
48,Kevin Kisner
49,Taylor Moore
50,Talor Gooch
51,Harold Varner III
52,J.T. Poston
53,Mito Pereira
54,Adam Svensson
55,Adrian Meronk
56,Lucas Herbert
57,Taylor Montgomery
58,Denny McCarthy
59,Rickie Fowler
60,Mackenzie Hughes
61,Victor Perez
62,Scott Stallings
63,Adam Hadwin
64,Davis Riley
65,Dustin Johnson
66,Patrick Reed
67,Nick Taylor
68,Andrew Putnam
69,Davis Thompson
70,Maverick McNealy
71,Matt Kuchar
72,Christiaan Bezuidenhout
73,Brendon Todd
74,Dean Burmester
75,J.J. Spaun
76,Adri Arnaus
77,Ben Griffin
78,Justin Suh
79,Cam Davis
80,Jason Kokrak
81,Kazuki Higa
82,Thomas Detry
83,Sadom Kaewkanjana
84,Trey Mullinax
85,Adrian Otaegui
86,Thriston Lawrence
87,Cameron Tringale
88,Kevin Na
89,Callum Shinkwin
90,Wyndham Clark
91,Adam Schenk
92,Danny Willett
93,Pablo Larrazabal
94,Daniel Berger
95,Thorbjørn Olesen
96,Robert MacIntyre
97,Anirban Lahiri
98,Jordan Smith
99,Gary Woodland
100,Joel Dahmen
101,Marc Leishman
102,Paul Casey
103,Luke List
104,Louis Oosthuizen
105,Brandon Wu
106,Brooks Koepka
107,Ben Taylor
108,Sebastián Muñoz
109,Alex Smalley
110,Richard Bland
111,Rasmus Højgaard
112,Hayden Buckley
113,Oliver Bekker
114,Emiliano Grillo
115,Yannik Paul
116,Matthew NeSmith
117,Erik van Rooyen
118,Taylor Pendrith
119,Robby Shelton
120,Brendan Steele
121,Scott Vincent
122,Aaron Rai
123,Francesco Molinari
124,Lucas Glover
125,Will Gordon
126,David Lingmerth
127,Antoine Rozner
128,Troy Merritt
129,Takumi Kanaya
130,Rikuya Hoshino
131,Seonghyeon Kim
132,Matt Jones
133,Webb Simpson
134,Stephan Jaeger
135,Sam Ryder
136,Patrick Rodgers
137,Beau Hossler
138,Alexander Björk
139,Ewen Ferguson
140,Nicolai Højgaard
141,Sam Horsfield
142,Yuki Inamori
143,Bryson DeChambeau
144,Hudson Swafford
145,Chez Reavie
146,Ockie Strydom
147,Jhonattan Vegas
148,Yuto Katsuragawa
149,Sergio Garcia
150,Sebastian Söderberg
151,Ian Poulter
152,MJ Daffue
153,Lee Hodges
154,Bernd Wiesberger
154,Eric Cole
156,Mark Hubbard
157,Carl Yuan
158,Jorge Campillo
159,Callum Tarren
160,David Lipsky
161,Shugo Imahira
162,Kevin Streelman
163,Brad Kennedy
164,Bio Kim
165,Matthieu Pavon
166,Mikumu Horikawa
167,Richie Ramsay
168,Kevin Yu
169,Byeong Hun An
170,Marcel Schneider
171,Haotong Li
172,Ryo Hisatsune
173,Dylan Frittelli
174,Shaun Norris
175,Matt Wallace
176,Tyson Alexander
177,Guido Migliozzi
178,Henrik Stenson
179,Tomoharu Otsuki
180,Daniel Gavins
181,Paul Haley II
182,Joseph Bramlett
183,Garrick Higgo
184,Phachara Khongwatmai
185,Pierceson Coody
186,John Huh
187,Paul Waring
188,Matthew Wolff
189,Cameron Champ
190,Julien Brun
191,Lanto Griffin
192,Chan Kim
193,Nick Hardy
194,Laurie Canter
195,Richard Mansell
196,Rafa Cabrera Bello
197,Kaito Onishi
198,Connor Syme
199,Chad Ramey
200,Patton Kizzire